RobertsNum,Species,Latin,Mass,Length,Wing,Breed,BrSys,Diet,ShrubNest,CavityNest,TreeNest,GroundNest,GrassNest,NestMinHt,NestMaxHt,ClutchM,EggDim1,EggDim2,IncPeriod,NestlingPeriod,DepFledPer,NestlingPred,EggPred,Parasite,AdPred,MaxLifespan,AnnSurvival,MultiBrood,Phylo
1,Common Ostrich,Struthio camelus,70000,200,900,0,Polyg,seeds,0,0,0,1,0,0,0,13,145,121.2,46,150,120,0,0,0,0,50,,0,
55,White-breasted Cormorant,Phalacrocorax lucidus,3000,90,317,1,Pair,fish,0,0,0,0,0,,,3.1,63,39.9,27.5,53,45,0,0,0,0,21.3,,,
58,Reed Cormorant,Phalacrocorax africanus,550,55,218,1,Pair,fish,0,0,1,0,0,,,3.6,44.2,29.4,23.5,35,28,0,0,0,1,17,,,
62,Grey Heron,Ardea cinerea,1400,94,443,1,Pair,vertebrates,0,0,1,0,0,1.5,2,3.2,60,73,26,50,20,0,0,0,1,37.5,,,
63,Black-headed Heron,Ardea melanocephala,1100,92,401,1,Pair,invertebrates,0,0,1,0,0,,,3.2,62,44,25,52,8,0,0,0,1,,,,
71,Cattle Egret,Bubulcus ibis,365,54,248,1,Pair,invertebrates,0,0,1,0,0,,,2.6,44.9,33.8,24,30,15,0,0,0,1,23,75,,
81,Hamerkop,Scopus umbretta,500,56,310,1,Pair,vertebrates,0,0,1,0,0,,,4.6,45.7,34.8,28,47.5,,0,0,0,0,20,,,
89,Marabou Stork,Leptoptilos crumeniferus,6400,152,678,1,Pair,carrion,0,0,1,0,0,2,40,2.4,76.1,55.9,30,105,25,1,0,0,1,44.7,,,
94,Hadada Ibis,Bostrychia hagedash,1250,76,344,1,Pair,invertebrates,0,0,1,0,0,1,8,2.4,60.3,42,26.5,49,60,0,0,0,0,16,,,
99,White-faced Whistling Duck,Dendrocygna viduata,702,47,230.1,1,Pair,seeds,0,0,0,1,0,0,1,10.5,49,37.4,28,63,365,0,0,0,0,12,,0,
102,Egyptian Goose,Alopochen aegyptiaca,2100,68,369.3,1,Pair,grass,0,0,1,0,0,0,60,7,68.5,51.2,29,70,,0,0,0,0,15.8,,1,
121,Hooded Vulture,Necrosyrtes monachus,2100,70,523,1,Pair,carrion,0,0,1,0,0,7,18,1,76.2,56.4,50.5,110,,1,0,0,0,21,,0,
123,White-backed Vulture,Gyps africanus,5500,95,615.1,1,Pair,carrion,0,0,1,0,0,7,25,1,88.1,66.3,57,130,165,0,0,0,0,19.8,,0,
126,Yellow-billed Kite,Milvus parasiticus,674,55,444,1,Pair,carrion,0,0,1,0,0,5,15,2,53.5,40.1,37.5,43.5,,0,0,0,1,23,,,
127,Black-shouldered Kite,Elanus caeruleus,248,30,267.9,1,Pair,vertebrates,0,0,1,0,0,1.6,7.8,3.6,40.1,31.7,31,35,56,0,0,0,1,6,,,
135,Wahlberg's Eagle,Aquila wahlbergi,1300,58,431,1,Pair,vertebrates,0,0,1,0,0,,,1,61.5,49,45,72.5,70,0,0,0,1,14,80,,
137,African Hawk-Eagle,Aquila spilogaster,1600,63,435,1,Pair,vertebrates,0,0,1,0,0,6,19,1.64,65.3,51.3,43,67,28,0,0,0,1,12,,,
146,Bateleur,Terathopius ecaudatus,2250,63,538,1,Pair,vertebrates,0,0,1,0,0,12,26,1,79.1,62.7,55,113,120,0,0,0,1,27,,0,
148,African Fish Eagle,Haliaeetus vocifer,2500,68,570,1,Pair,fish,0,0,1,0,0,12,15,2.1,71.1,54.1,43.5,135,,0,0,0,1,24,,0,
149,Steppe Buzzard,Buteo vulpinus,820,48,369,0,,invertebrates,0,0,0,0,0,,,,,,,,,0,0,0,1,12,,,
154,Lizard Buzzard,Kaupifalco monogrammicus,273,36,233,1,Pair,vertebrates,0,0,1,0,0,6,10,1.9,44,35.2,33,40,69,1,0,0,0,8.6,,0,
160,African Goshawk,Accipiter tachiro,360,45,248,1,Pair,vertebrates,0,0,1,0,0,4,15,2.2,44.5,36,36,32.5,45,1,0,1,1,,,,
161,Gabar Goshawk,Melierax gabar,164,32,200,1,Pair,vertebrates,0,0,1,0,0,2,25,2.5,39.8,31.1,35.5,35.5,30,1,0,0,1,,,,
169,African Harrier-Hawk,Polyboroides typus,750,63,470,1,Pair,vertebrates,0,0,1,0,0,,,1.71,55.7,43.9,35.5,50,10,1,1,0,1,8,,,
171,Peregrine Falcon,Falco peregrinus,650,39,321,1,Pair,vertebrates,0,0,0,0,0,,,2.9,51.3,46.6,34,44,60,0,0,0,1,12,84,,
173,Eurasian Hobby,Falco subbuteo,215,32,268,0,,invertebrates,0,0,0,0,0,,,,,,,,,0,0,0,1,14.9,,,
180,Amur Falcon,Falco amurensis,142,29,233,0,,invertebrates,0,0,0,0,0,,,,,,,,,0,0,0,1,,,,
189,Crested Francolin,Dendroperdix sephaena,350,33,146,1,Pair,seeds,0,0,0,1,0,0,0,4.8,39.7,30.4,20.5,,,0,0,0,0,,,,
191,Shelley's Francolin,Scleroptila shelleyi,475,33,159,1,Pair,seeds,0,0,0,1,0,0,0,5.2,,,21,12,,0,0,0,0,,,,
196,Natal Spurfowl,Pternistis natalensis,410,34,158.4,1,Pair,seeds,0,0,0,1,0,0,0,3.9,41.9,34.2,22.5,12,,0,0,0,0,,,,
199,Swainson's Spurfowl,Pternistis swainsonii,605,36,175.5,1,Pair,seeds,0,0,0,1,0,0,0,5.8,43.9,35.7,22.5,12,,0,0,0,0,,,0,
200,Common Quail,Coturnix coturnix,95,17,105,1,Pair,seeds,0,0,0,1,0,0,0,6.6,30.3,23.4,18.5,11,40,0,0,0,0,8,,,
203,Helmeted Guineafowl,Numida meleagris,1350,56,260,1,Pair,omnivorous,0,0,0,1,0,0,0,12,52.6,40.2,25.5,14,,0,0,0,0,,,,
204,Crested Guineafowl,Guttera edouardi,1300,50,261,1,Pair,omnivorous,0,0,0,1,0,0,0,6.2,52,41,23,,,0,0,0,0,0,,,
205,Common Buttonquail,Turnix sylvaticus,43,15,86.5,1,Polya,invertebrates,0,0,0,1,0,0,0,3.2,23.8,18.4,15,10,,0,0,0,0,9,,,
212,African Crake,Crecopsis egregia,120,22,123.9,0,Pair,omnivorous,0,0,0,0,1,0,0,5.2,34.8,25.5,21.5,,,0,0,0,0,,,,
238,Black-bellied Bustard,Lissotis melanogaster,2300,62,340,1,Polyg,invertebrates,0,0,0,1,0,0,0,1.6,58.5,51.9,23,,,0,0,0,0,,,,
249,Three-banded Plover,Charadrius tricollaris,34,18,111.4,1,Pair,invertebrates,0,0,0,1,0,0,0,2,30,22,28.5,31,10,0,0,0,0,11.5,,1,
255,Crowned Lapwing,Vanellus coronatus,185,31,194,1,Pair,invertebrates,0,0,0,1,0,0,0,2.3,40,28.9,30,30,365,0,0,0,0,8,,1,
256,Senegal Lapwing,Vanellus lugubris,115,24,171,1,Pair,invertebrates,0,0,0,1,0,0,0,3.4,36.1,26.7,27.5,30.5,365,0,0,0,0,,,,
258,Blacksmith Lapwing,Vanellus armatus,166,30,208,1,Pair,invertebrates,0,0,0,1,0,0,0,3.5,39.6,29,29.5,40,30,1,0,0,0,18.6,,1,
264,Common Sandpiper,Actitis hypoleucos,47,20,112.5,0,,invertebrates,0,0,0,0,0,0,0,,,,,,,0,0,0,0,14.5,,,
266,Wood Sandpiper,Tringa glareola,60,20,125.5,0,,invertebrates,0,0,0,0,0,0,0,,,,,,,0,0,0,0,11.6,,,
269,Marsh Sandpiper,Tringa stagnatilis,70,24,138.8,0,,invertebrates,0,0,0,0,0,0,0,,,,,,,0,0,0,0,7.1,,,
270,Common Greenshank,Tringa nebularia,185,32,192.9,0,,invertebrates,0,0,0,0,0,0,0,,,,,,,0,0,0,0,24.4,,,
295,Black-winged Stilt,Himantopus himantopus,165,38,170.9,1,Pair,invertebrates,0,0,0,1,0,0,0,3.8,43.3,31.5,26.2,30,28,0,0,0,0,12.1,,,
297,Spotted Thick-knee,Burhinus capensis,465,43,239,1,Pair,invertebrates,0,0,0,1,0,0,0,2,52,38,27,56,,0,0,0,0,21.7,,1,
298,Water Thick-knee,Burhinus vermiculatus,303,40,209,1,Pair,fish,0,0,0,1,0,0,0,2,49.2,35.7,23.5,61.5,,0,0,0,0,19.6,,1,
348,Rock Dove,Columba livia,400,33,214,1,Pair,seeds,0,0,0,0,0,,,1.93,39,29,17.5,26,10,0,0,0,0,35,,1,
352,Red-eyed Dove,Streptopelia semitorquata,252,35,186,1,Pair,seeds,1,0,1,0,0,0.3,18,1.83,31.1,23.7,16,18,,0,0,0,0,6.8,,,
354,Cape Turtle Dove,Streptopelia capicola,153,27,163,1,Pair,seeds,1,0,1,0,0,0.5,15,1.9,28.1,21.6,14.5,16.5,15,0,0,0,0,34.6,65,,
355,Laughing Dove,Streptopelia senegalensis,100,25,134.2,1,Pair,seeds,1,0,1,0,0,0.5,15,1.97,26.2,20.1,13,15.5,,0,0,0,0,18,,,
356,Namaqua Dove,Oena capensis,40,26,104.6,1,Pair,seeds,1,0,1,0,0,,,1.94,21.3,15.7,14.5,16,,0,0,0,0,,,,
358,Emerald-spotted Wood Dove,Turtur chalcospilos,64,20,109.9,1,Pair,seeds,1,0,1,0,0,0.5,6,1.9,23.2,17.6,17,16,,0,0,0,0,9.5,,,
359,Tambourine Dove,Turtur tympanistria,71,22,113.6,1,Pair,seeds,1,0,1,0,0,1,10,1.85,24.5,18,18.5,20.5,,0,0,0,0,5.5,,,
361,African Green Pigeon,Treron calvus,235,29,178.2,1,Pair,fruit,0,0,1,0,0,2,21,1.82,30.5,23.7,13.5,12,,0,0,0,0,,,,
363,Brown-headed Parrot,Poicephalus cryptoxanthus,145,23,149.1,1,Pair,fruit,0,1,0,0,0,4,10,2.8,32.5,26.3,28,52,28,0,0,0,0,,,0,
370,Livingstone's Turaco,Tauraco livingstonii,300,45,172.8,1,Pair,fruit,0,0,1,0,0,,,2,37.9,32.9,,,,0,0,0,0,,,,
371,Purple-crested Turaco,Gallirex porphyreolophus,285,42,181,1,Pair,fruit,0,0,1,0,0,3,9,2.3,37.6,34.5,22,38,,0,0,0,0,,,,
373,Grey Go-away-bird,Corythaixoides concolor,270,49,219,1,Pair,fruit,0,0,1,0,0,3,10,2.6,40.8,33,27.5,19.5,41,0,0,0,0,8.9,,,
375,African Cuckoo,Cuculus gularis,105,32,210,1,Pair,invertebrates,1,0,1,0,0,,,,24.2,17.8,14,23,,0,0,1,0,,,,
377,Red-chested Cuckoo,Cuculus solitarius,75,29,169,1,Unk,invertebrates,1,0,0,0,0,,,,24.6,18.3,13,19,22.5,0,0,1,0,,,1,
378,Black Cuckoo,Cuculus clamosus,90,30,178,1,Unk,invertebrates,1,0,0,0,0,,,4.5,24.9,18,14,20.5,31,0,0,1,0,,,1,
381,Levaillant's Cuckoo,Clamator levaillantii,122,39,178,1,Unk,invertebrates,1,0,0,0,0, ,,4,26.6,20.6,11.5,9.5,28,0,0,1,0,,,1,
382,Jacobin Cuckoo,Clamator jacobinus,81,34,153,1,Polyg,invertebrates,1,0,1,0,0,,,4,26,21.6,11.5,17,33,0,0,1,0,,,1,
384,African Emerald Cuckoo,Chrysococcyx cupreus,35,20,107.3,1,Polyg,invertebrates,1,0,0,0,0,0,6,3.5,20.7,14.5,16,22,,0,0,0,0,,,1,
385,Klaas's Cuckoo,Chrysococcyx klaas,26,18,98.9,1,Pair,invertebrates,1,0,1,0,0,,,3.5,18.7,13.1,11.5,20,25,0,0,1,0,,,1,
386,Diderick Cuckoo,Chrysococcyx caprius,30,19,121.3,1,Polya,invertebrates,0,0,1,0,0,,,4,22,14.8,11,20.5,0,0,0,1,0,6,59,1,
391,Burchell's Coucal,Centropus burchellii,170,41,172.7,1,Pair,vertebrates,1,0,1,0,1,0.5,10,3.6,34.3,26.5,15.5,21,,1,1,0,1,3,,1,
395,Marsh Owl,Asio capensis,315,37,288,1,Pair,vertebrates,0,0,0,1,0,0,0,2.8,40,34,27.5,32,30,1,0,0,1,,,,
