Species,"Intercept, 2.5%",50%,97.50%,5%,95%,"Shrub cover, 2.5%",50%,97.50%,5%,95%,"Pasture, 2.5%",50%,97.50%,5%,95%,"Homestead, 2.5%",50%,97.50%,5%,95%,"Pasture x shrub, 2.5%",50%,97.50%,5%,95%,"Homestead x shrub, 2.5%",50%,97.50%,5%,95%,WAIC
Acacia Pied Barbet,-7.1800,-4.2400,-6.0300,-7.2700,-10.9000,-11.5000,-2.1500,0.3310,1.3800,5.9200,-4.7400,6.0400,3.5400,4.2700,9.1900,18.5000,1.4300,20.0000,-6.3900,-3.4200,-4.7700,-5.0800,-9.7700,-8.5900,2.4900,3.5400,7.7800,16.5000,0.2300,17.8000,447.7344
African Paradise Flycatcher,-0.6420,-0.7340,-16.1000,-15.0000,-7.1600,-8.6800,3.0100,1.5300,-6.1000,-4.4500,-0.3530,0.3210,11.1000,8.9300,-1.2200,2.6000,3.7400,9.1700,-0.3050,-0.4500,-14.3000,-13.2000,-5.9000,-6.9300,9.7300,7.6600,-1.6900,1.3200,2.9000,7.1400,643.0179
Barn Swallow,0.3860,-3.2800,0.2300,-1.4800,-9.4500,-20.2000,1.6700,-1.0400,5.3100,8.3400,-2.3800,-3.9100,7.5600,0.0405,19.7000,23.8000,0.6550,10.3000,0.5420,-2.5900,0.6990,-0.2260,-8.1700,-17.3000,5.8200,-0.1640,17.2000,21.3000,0.2770,7.9800,1363.6214
Black-backed Puffback,2.2300,-0.5890,-14.5000,-28.2000,-8.1900,-8.9100,8.2100,5.8200,-5.1400,-13.4000,2.2600,6.8200,17.1000,15.9000,6.0400,0.0661,15.6000,24.5000,2.9700,0.3290,-13.0000,-25.9000,-6.5200,-6.5100,15.5000,14.4000,3.7000,-2.3000,13.1000,21.4000,565.5080
Black-crowned Tchagra,0.6880,-12.0000,-8.5400,-12.3000,-14.4000,-11.2000,6.8200,-4.9300,1.6200,0.2230,-3.2600,8.0600,16.3000,0.8280,16.6000,13.9000,4.8600,22.2000,1.3800,-10.8000,-6.7700,-10.3000,-12.5000,-7.1600,14.5000,-0.4260,13.8000,11.3000,3.5200,20.0000,750.1080
Black-headed Oriole,-3.4400,-1.8200,-11.3000,-26.5000,-1.9500,-8.6000,0.9280,1.0400,-3.6500,-11.9000,4.4900,6.2200,6.6500,8.4100,3.8400,0.3460,14.9000,22.9000,-2.6500,-1.3600,-9.9100,-24.1000,-0.7570,-6.2700,5.5400,6.7100,2.3000,-1.4900,12.7000,20.2000,535.3888
Blue Waxbill,0.6680,-2.9900,-5.7600,-2.9600,-3.1200,-2.6500,2.3800,-0.6560,-1.6500,5.1800,-0.0248,6.4800,7.0600,1.7300,0.9310,17.3000,2.4100,19.1000,0.8990,-2.3800,-4.8100,-1.9100,-2.4000,-1.2800,5.9000,1.1800,0.4490,15.2000,1.8300,17.1000,1171.5947
Brown-crowned Tchagra,0.8960,-7.5800,-8.4500,-27.6000,-8.0000,-8.2300,7.4300,1.8300,2.4300,-12.7000,6.8900,7.5000,18.3000,15.4000,17.4000,1.1900,21.1000,24.5000,1.6400,-6.3000,-6.7800,-25.1000,-5.6100,-5.6800,16.5000,13.2000,14.6000,-1.1100,18.7000,21.7000,480.5901
Cape Glossy Starling,-1.1100,-1.9800,-9.0100,-4.2900,-5.6300,-10.4000,2.0500,0.5000,-2.3100,5.0900,-0.9130,2.6100,8.1900,4.2300,2.8500,17.8000,2.3700,15.2000,-0.6640,-1.3800,-7.7500,-2.8600,-4.6000,-7.3800,6.9900,3.3700,1.8300,15.5000,1.6700,13.1000,810.2780
Cape Turtle Dove,0.7230,-8.6800,-13.6000,-15.9000,-7.4800,-14.8000,7.3800,-1.3100,-3.1600,-2.2600,4.5200,2.9800,20.6000,12.5000,12.4000,13.9000,24.0000,18.5000,1.6000,-7.4900,-12.0000,-13.6000,-5.4200,-11.5000,18.3000,10.2000,9.3000,10.8000,21.3000,16.1000,600.0625
Cape White-eye,-8.9500,-1.3000,-7.5700,-12.3000,-4.2600,-9.8700,-4.3700,0.4200,-1.7100,-2.7400,-1.2700,-0.8220,-1.4000,2.0600,3.3700,5.4900,1.4700,8.0500,-8.1100,-0.9610,-6.4400,-10.7000,-3.7300,-8.1400,-1.8700,1.7700,2.4200,4.0200,0.9950,6.0400,241.3064
Cardinal Woodpecker,-0.4840,-3.6600,-20.6000,-18.1000,-7.3300,-7.3800,5.6000,4.7200,-9.9000,-5.1700,4.2200,7.4300,14.3000,15.5000,-0.4160,8.0800,17.5000,23.3000,0.3720,-2.6900,-18.7000,-15.9000,-5.4600,-5.0200,12.8000,13.9000,-2.0400,5.9000,15.0000,20.8000,437.3196
Chinspot Batis,0.8140,-2.1900,-7.9600,-12.6000,-0.7840,-0.3270,4.0200,-0.1570,-2.0300,-4.2400,2.1000,4.0000,9.8400,1.6200,3.3000,2.3500,7.7600,10.9000,1.2100,-1.7500,-6.8200,-11.1000,-0.3270,0.3390,8.7900,1.2700,2.2200,1.1800,6.4400,9.3700,1043.6522
