Species,Date 2.5%,50%,97.50%,5%,95%,Time 2.5%,50%,97.50%,5%,95%,"Time quadratic, 2.5%",50%,97.50%,5%,95%,Intercept 2.5%,50%,97.50%,5%,95%,Shrub cover 2.5%,50%,97.50%,5%,95%,Pasture 2.5%,50%,97.50%,5%,95%,Homestead 2.5%,50%,97.50%,5%,95%,Plantation 2.5%,50%,97.50%,5%,95%,WAIC
Acacia Pied Barbet,-0.0434,-0.433,-0.788,-7.07,-5.41,-5.14,-7.01,-25.9,0.487,-0.0419,-0.385,-2.15,-1.87,1.76,1.68,-11.6,1.01,0.353,-0.0535,2.87,2.23,9.47,12.2,-0.0738,0.0388,-0.367,-0.719,-6.28,-4.8,-3.99,-5.5,-23.4,0.927,0.287,-0.104,2,1.42,8.15,10.2,-1.94,NA
African Paradise Flycatcher,-0.597,-0.404,-0.368,-0.879,-0.256,-13.1,-10.9,-10.1,-0.374,-0.146,-0.133,1.14,0.832,-3.89,-3.46,-3.03,-0.145,0.114,0.0821,7.74,4.73,-0.891,0.0531,2.65,-0.563,-0.364,-0.327,-0.617,-0.117,-11.2,-9.3,-8.53,-0.181,0.0717,0.0484,6.37,3.87,-1.3,-0.543,1.27,NA
Barn Swallow,0.0045,0.0545,-0.178,0.352,-1.93,-0.0678,0.904,1.09,0.158,0.208,-0.072,1.07,-1.08,1.16,7.62,7.73,0.309,0.365,0.0244,2.53,-0.551,3,23.3,22.8,0.0277,0.0797,-0.161,0.464,-1.72,0.131,1.45,1.7,0.285,0.341,0.0085,2.12,-0.637,2.56,20.3,20,NA
Black-backed Puffback,-0.633,-0.205,-0.41,1.79,1.4,-14.2,-28,-14.9,-0.426,0.117,-0.119,7.29,6.76,-5.66,-14.6,-4.23,-0.214,0.463,0.141,15.6,17.1,0.995,-4.99,8.45,-0.6,-0.156,-0.361,2.48,1.88,-12.7,-25.6,-13,-0.248,0.405,0.101,14.1,15.2,-0.193,-6.35,5.38,NA
Black-crowned Tchagra,-0.406,-0.569,-0.363,-0.475,-8.16,-6.31,-10.1,-28.4,-0.133,-0.28,-0.103,3.03,-2.72,-0.466,-2.04,-14.4,0.124,0.0059,0.126,10.2,-0.538,5.79,12.6,-4.52,-0.361,-0.522,-0.32,-0.136,-7.12,-5.06,-8.53,-25.9,0.0834,-0.0387,0.0894,8.79,-0.743,4.34,8.15,-5.77,NA
Black-headed Oriole,-0.585,-0.294,-0.185,-3.2,0.5,-11.8,-26.5,-13.3,-0.372,-0.0004,0.07,1.13,3.61,-4.12,-12.9,-3.23,-0.161,0.298,0.318,6.86,10.4,2.3,-3.07,6.25,-0.551,-0.245,-0.147,-2.42,0.804,-10.5,-24,-11.5,-0.194,0.249,0.279,5.73,9.19,1.14,-4.52,4.53,NA
Blue Waxbill,0.0266,-0.31,-0.118,0.585,-1.5,-4.28,-3.28,-10.8,0.201,-0.135,0.025,2.03,-0.62,-1.4,-0.177,-5.76,0.381,0.0399,0.165,4.86,0.235,0.837,3.7,-2.5,0.0536,-0.282,-0.0945,0.791,-1.33,-3.67,-2.7,-9.72,0.352,0.0116,0.143,4.15,0.08,0.433,2.8,-3,NA
Brown-crowned Tchagra,-0.326,-0.805,-0.922,1.21,-3.14,-8.56,-27.3,-24.5,-0.0292,-0.296,-0.393,7.14,6.42,-0.0484,-13.3,-9.63,0.304,0.163,0.0204,16.4,17.5,18.3,-3.55,5.22,-0.279,-0.716,-0.83,1.97,-1.9,-7.1,-24.7,-21.9,0.246,0.0898,-0.0373,14.8,15.6,14.7,-5.04,1.73,NA
Cape Glossy Starling,-0.57,-0.373,-0.338,-1.29,-1.33,-8.58,-3.63,-15.9,-0.27,-0.133,-0.117,1.62,0.109,-2.35,2.58,-5.69,0.0202,0.115,0.0807,6.84,1.99,2.26,12.8,1.55,-0.522,-0.334,-0.301,-0.845,-1.04,-7.36,-2.48,-13.9,-0.0281,0.0739,0.0495,5.87,1.56,1.37,10.4,0.288,NA
