Species,Intercept 2.5%,50%,97.50%,5%,95%,Shrub cover 2.5%,50%,97.50%,5%,95%,Pasture 2.5%,50%,97.50%,5%,95%,Homestead 2.5%,50%,97.50%,5%,95%,Pasture x shrub 2.5%,50%,97.50%,5%,95%,Homestead x shrub 2.5%,50%,97.50%,5%,95%,WAIC
Acacia Pied Barbet,-7.18,-4.24,-6.03,-7.27,-10.9,-11.5,-2.15,0.331,1.38,5.92,-4.74,6.04,3.54,4.27,9.19,18.5,1.43,20,-6.39,-3.42,-4.77,-5.08,-9.77,-8.59,2.49,3.54,7.78,16.5,0.23,17.8,447.7344
African Paradise Flycatcher,-0.642,-0.734,-16.1,-15,-7.16,-8.68,3.01,1.53,-6.1,-4.45,-0.353,0.321,11.1,8.93,-1.22,2.6,3.74,9.17,-0.305,-0.45,-14.3,-13.2,-5.9,-6.93,9.73,7.66,-1.69,1.32,2.9,7.14,643.0179
Barn Swallow,0.386,-3.28,0.23,-1.48,-9.45,-20.2,1.67,-1.04,5.31,8.34,-2.38,-3.91,7.56,0.0405,19.7,23.8,0.655,10.3,0.542,-2.59,0.699,-0.226,-8.17,-17.3,5.82,-0.164,17.2,21.3,0.277,7.98,1363.6214
Black-backed Puffback,2.23,-0.589,-14.5,-28.2,-8.19,-8.91,8.21,5.82,-5.14,-13.4,2.26,6.82,17.1,15.9,6.04,0.0661,15.6,24.5,2.97,0.329,-13,-25.9,-6.52,-6.51,15.5,14.4,3.7,-2.3,13.1,21.4,565.508
Black-crowned Tchagra,0.688,-12,-8.54,-12.3,-14.4,-11.2,6.82,-4.93,1.62,0.223,-3.26,8.06,16.3,0.828,16.6,13.9,4.86,22.2,1.38,-10.8,-6.77,-10.3,-12.5,-7.16,14.5,-0.426,13.8,11.3,3.52,20,750.108
Black-headed Oriole,-3.44,-1.82,-11.3,-26.5,-1.95,-8.6,0.928,1.04,-3.65,-11.9,4.49,6.22,6.65,8.41,3.84,0.346,14.9,22.9,-2.65,-1.36,-9.91,-24.1,-0.757,-6.27,5.54,6.71,2.3,-1.49,12.7,20.2,535.3888
Blue Waxbill,0.668,-2.99,-5.76,-2.96,-3.12,-2.65,2.38,-0.656,-1.65,5.18,-0.0248,6.48,7.06,1.73,0.931,17.3,2.41,19.1,0.899,-2.38,-4.81,-1.91,-2.4,-1.28,5.9,1.18,0.449,15.2,1.83,17.1,1171.5947
Brown-crowned Tchagra,0.896,-7.58,-8.45,-27.6,-8,-8.23,7.43,1.83,2.43,-12.7,6.89,7.5,18.3,15.4,17.4,1.19,21.1,24.5,1.64,-6.3,-6.78,-25.1,-5.61,-5.68,16.5,13.2,14.6,-1.11,18.7,21.7,480.5901
Cape Glossy Starling,-1.11,-1.98,-9.01,-4.29,-5.63,-10.4,2.05,0.5,-2.31,5.09,-0.913,2.61,8.19,4.23,2.85,17.8,2.37,15.2,-0.664,-1.38,-7.75,-2.86,-4.6,-7.38,6.99,3.37,1.83,15.5,1.67,13.1,810.278
