Species,Intercept 2.5%,50%,97.50%,5%,95%,Shrub cover 2.5%,50%,97.50%,5%,95%,Pasture 2.5%,50%,97.50%,5%,95%,Homestead 2.5%,50%,97.50%,5%,95%,WAIC
Acacia Pied Barbet,-6.2700,-5.9300,-6.3700,-8.0200,-1.4400,-2.2700,1.0900,0.9420,4.0900,1.7700,8.8000,11.5000,-5.5000,-5.3700,-5.1000,-6.5400,3.0700,0.9870,7.4200,9.5600,468.4586
African Paradise Flycatcher,-0.9840,-0.3930,-11.6000,-9.9700,0.8890,0.5800,-3.5000,-3.3300,6.9200,3.6200,-0.7870,-0.0228,-0.7080,-0.2430,-9.8500,-8.4300,5.5500,2.8700,-1.1700,-0.5670,602.5201
Barn Swallow,0.3790,-2.9700,-0.4760,0.6540,1.3300,-1.2400,1.2700,7.7100,5.0500,-0.5760,4.7400,21.5000,0.4980,-2.4700,-0.1310,1.3300,3.8900,-0.6780,3.5800,19.1000,1328.1482
Black-backed Puffback,1.4800,1.0300,-13.3000,-27.7000,6.5900,4.8200,-5.1700,-14.4000,14.2000,12.5000,0.5870,-5.0300,2.0500,1.3900,-11.8000,-25.4000,12.9000,11.0000,-0.5120,-6.2000,561.0864
Black-crowned Tchagra,0.2660,-12.6000,-8.9500,-14.3000,6.1900,-5.2600,-1.0300,-2.9800,16.9000,-1.0600,7.6800,14.5000,0.8590,-11.4000,-7.5500,-12.4000,14.7000,-1.4400,6.0900,11.0000,738.2209
Black-headed Oriole,-2.8200,0.2920,-11.1000,-28.3000,1.0300,2.6200,-3.7100,-12.9000,6.7700,9.5600,1.9500,-3.6000,-2.1600,0.5460,-9.7600,-25.2000,5.6700,8.2200,0.9130,-4.9700,530.2800
Blue Waxbill,0.5160,-1.5000,-4.6400,-3.4700,2.0500,-0.6060,-1.4700,-0.1760,5.2200,0.2790,0.8650,3.8100,0.7390,-1.3300,-3.9700,-2.8700,4.4600,0.1140,0.4350,2.9400,1159.0408
Brown-crowned Tchagra,1.4800,-4.8300,-9.8200,-29.1000,8.6700,5.8600,0.3630,-14.7000,19.1000,15.9000,18.6000,-3.8500,2.3600,-3.4300,-8.1800,-26.4000,17.3000,14.4000,15.6000,-5.5200,484.8794
Cape Glossy Starling,-1.1900,-1.2900,-8.2000,-3.6700,1.4100,0.0277,-2.2300,2.1100,6.8300,1.6700,1.8500,12.0000,-0.7820,-1.0500,-6.9800,-2.5100,5.6400,1.3100,1.0300,9.5900,791.6275
Cape Turtle Dove,0.0885,-5.9800,-12.7000,-14.0000,5.6300,-0.8510,-3.6900,-4.0200,17.6000,10.2000,11.2000,9.4700,0.7970,-4.9500,-11.3000,-12.3000,14.5000,7.1900,6.9800,6.5900,578.3880
Cape White-eye,-8.6200,-1.3400,-7.3000,-9.3800,-4.1900,-0.0162,-1.7500,-2.2500,-1.4100,1.1800,3.0600,3.7000,-7.8300,-1.0900,-6.2800,-8.0300,-1.8300,0.9880,2.2400,2.5700,240.3012
Cardinal Woodpecker,0.5190,1.7600,-20.3000,-18.2000,5.8800,6.6600,-10.3000,-7.6500,13.1000,14.3000,-2.2000,0.7510,1.2300,2.2900,-18.6000,-16.3000,11.9000,12.9000,-3.4000,-0.6670,437.9557
