"","LandUse","Buildings","ShrubMean","GrassMean","TreeMean","grid"
"1","Protected",0,12.6666666666667,54,39.3333333333333,"11"
"2","Protected",0,9.66666666666667,64.3333333333333,55.3333333333333,"11"
"3","Protected",0,27.3333333333333,82.3333333333333,13.3333333333333,"11"
"4","Protected",0,60.6666666666667,46.3333333333333,8,"11"
"5","Protected",0,72,22,34,"11"
"6","Protected",0,24,45,40,"11"
"7","Protected",0,59,85,8.66666666666667,"11"
"8","Protected",0,75.3333333333333,48,7,"11"
"9","Protected",0,72.3333333333333,38,0,"11"
"10","Protected",0,6.33333333333333,78.3333333333333,0,"10"
"11","Protected",0,3.66666666666667,81.3333333333333,10,"10"
"12","Protected",0,9.33333333333333,88.6666666666667,10.6666666666667,"10"
"13","Protected",0,36.6666666666667,68.3333333333333,2,"10"
"14","Protected",0,17.6666666666667,90.3333333333333,22,"10"
"15","Protected",0,24,72.3333333333333,16.6666666666667,"10"
"16","Protected",0,60.6666666666667,38,4,"10"
"17","Protected",0,35,47.6666666666667,6.66666666666667,"10"
"18","Protected",0,66,31.6666666666667,21.6666666666667,"10"
"19","Protected",0,51.6666666666667,69,33,"9"
"20","Protected",0,67.6666666666667,90.3333333333333,23,"9"
"21","Protected",0,26.6666666666667,86.3333333333333,72.6666666666667,"9"
"22","Protected",0,7.66666666666667,84.6666666666667,75.6666666666667,"9"
"23","Protected",0,78.6666666666667,71.3333333333333,20,"9"
"24","Protected",0,68.6666666666667,28.6666666666667,49.3333333333333,"9"
"25","Protected",0,44,87.3333333333333,52.6666666666667,"9"
"26","Protected",0,62.3333333333333,67.3333333333333,36,"9"
"27","Protected",0,37.6666666666667,75.3333333333333,39,"9"
"28","Protected",0,14.6666666666667,90.6666666666667,63.3333333333333,"17"
"29","Protected",0,37.3333333333333,91,44.6666666666667,"17"
"30","Protected",0,37,64.3333333333333,24,"17"
"31","Protected",0,37.6666666666667,86.3333333333333,34,"17"
"32","Protected",0,67,49,18.3333333333333,"17"
"33","Protected",0,49.3333333333333,49.3333333333333,35.3333333333333,"17"
"34","Protected",0,28,77.3333333333333,41,"17"
"35","Protected",0,30.3333333333333,72,42.3333333333333,"17"
"36","Protected",0,24.6666666666667,82,32.3333333333333,"17"
"37","Protected",0,70,59.6666666666667,32,"15"
"38","Protected",0,100,17.6666666666667,2.33333333333333,"15"
"39","Protected",0,82.3333333333333,66.3333333333333,9,"15"
"40","Protected",0,86.3333333333333,6.66666666666667,71.6666666666667,"15"
"41","Protected",0,38.6666666666667,81,57.6666666666667,"15"
"42","Protected",0,54,96,52,"15"
"43","Protected",0,98.3333333333333,5,27,"15"
"44","Protected",0,58,43,74.3333333333333,"15"
"45","Protected",0,68.6666666666667,46.6666666666667,24.6666666666667,"15"
"46","ComPasture",0,19,29.6666666666667,0,"19"
"47","ComPasture",0,9.33333333333333,32.6666666666667,7.33333333333333,"19"
"48","ComPasture",0,11.3333333333333,17,2.66666666666667,"19"
"49","ComPasture",0,21.6666666666667,30,3.66666666666667,"19"
"50","ComPasture",0,19,21.6666666666667,0,"19"
"51","ComPasture",0,29,35,0,"19"
"52","ComPasture",0,12.3333333333333,16,9,"19"
"53","ComPasture",0,50,16.3333333333333,2.66666666666667,"19"
"54","ComPasture",0,24.6666666666667,9.33333333333333,2.66666666666667,"19"
"55","ComPasture",0,71,7,0,"37"
"56","ComPasture",0,35,6.33333333333333,3.66666666666667,"37"
"57","ComPasture",0,14.6666666666667,6.33333333333333,2.33333333333333,"37"
"58","ComPasture",0,30.3333333333333,21,5,"37"
"59","ComPasture",0,12.6666666666667,15.6666666666667,6.66666666666667,"37"
"60","ComPasture",0,50.3333333333333,28.6666666666667,8.33333333333333,"37"
"61","ComPasture",0,32.3333333333333,18,18.6666666666667,"37"
"62","ComPasture",0,33.6666666666667,6,11,"37"
"63","ComPasture",0,25,9.66666666666667,5.66666666666667,"37"
"64","ComPasture",0,80,46,8.33333333333333,"35"
"65","ComPasture",0,67,43,30,"35"
"66","ComPasture",0,83.6666666666667,24,8,"35"
"67","ComPasture",0,4.66666666666667,48,83,"35"
"68","ComPasture",0,88.6666666666667,24,16.6666666666667,"35"
"69","ComPasture",0,31.3333333333333,22.6666666666667,79.6666666666667,"35"
"70","ComPasture",0,24,21.3333333333333,68,"35"
"71","ComPasture",0,28,17.6666666666667,2.33333333333333,"35"
"72","ComPasture",0,91.3333333333333,67,12.3333333333333,"35"
"73","ComPasture",0,95,27,4.66666666666667,"38"
"74","ComPasture",0,62.3333333333333,17,49.3333333333333,"38"
"75","ComPasture",0,74.3333333333333,8.66666666666667,11.6666666666667,"38"
"76","ComPasture",0,100,8,3,"38"
"77","ComPasture",0,73,30.3333333333333,39.6666666666667,"38"
"78","ComPasture",0,100,6.33333333333333,8.33333333333333,"38"
"79","ComPasture",0,66.3333333333333,7.33333333333333,11.6666666666667,"38"
"80","ComPasture",0,87,20.3333333333333,12.6666666666667,"38"
"81","ComPasture",0,76.3333333333333,6.66666666666667,69.6666666666667,"38"
"82","ComPasture",0,13.3333333333333,36.3333333333333,2.66666666666667,"18"
"83","ComPasture",0,93.6666666666667,26.3333333333333,2.33333333333333,"18"
"84","ComPasture",0,74.6666666666667,11.3333333333333,8.33333333333333,"18"
"85","ComPasture",0,24.6666666666667,15.6666666666667,4,"18"
"86","ComPasture",0,61.3333333333333,9,4.33333333333333,"18"
"87","ComPasture",0,30.3333333333333,8,3.66666666666667,"18"
"88","ComPasture",0,9,5.66666666666667,4,"18"
"89","ComPasture",0,57.6666666666667,16.3333333333333,13.6666666666667,"18"
"90","ComPasture",0,81,33.6666666666667,0,"18"
"91","Protected",0,31.3333333333333,92,0,"16"
"92","Protected",0,40,63.3333333333333,17.3333333333333,"16"
"93","Protected",0,47.6666666666667,89.3333333333333,2,"16"
"94","Protected",0,59.3333333333333,70,2.66666666666667,"16"
"95","Protected",0,18,97.3333333333333,10,"16"
"96","Protected",0,24.3333333333333,100,30.6666666666667,"16"
"97","Protected",0,10.3333333333333,73.3333333333333,38.3333333333333,"16"
"98","Protected",0,23,92,11.3333333333333,"16"
"99","Protected",0,34,88,4.66666666666667,"16"
"100","ComPasture",0,85.3333333333333,6.66666666666667,0,"21"
"101","ComPasture",0,95.3333333333333,5.66666666666667,27,"21"
"102","ComPasture",0,77,21.6666666666667,5.66666666666667,"21"
"103","ComPasture",0,95.6666666666667,26,7.33333333333333,"21"
"104","ComPasture",0,100,6,10.3333333333333,"21"
"105","ComPasture",0,80.3333333333333,5.66666666666667,4.33333333333333,"21"
"106","ComPasture",0,94,5,12,"21"
"107","ComPasture",0,83.3333333333333,20,5,"21"
"108","ComPasture",0,76.6666666666667,25.6666666666667,3.33333333333333,"21"
"109","ComPasture",6,2,100,0,"4"
"110","ComPasture",1,8.33333333333333,46.6666666666667,17.3333333333333,"4"
"111","ComPasture",0,0,67.6666666666667,6,"4"
"112","ComPasture",0,0,100,0,"4"
"113","ComPasture",0,0,62.3333333333333,0,"4"
"114","ComPasture",0,0,67,0,"4"
"115","ComPasture",5,1,88.3333333333333,2,"4"
"116","ComPasture",0,7.66666666666667,94.6666666666667,0,"4"
"117","ComPasture",0,0,36.6666666666667,0,"4"
"118","ComPasture",0,0,100,0,"39"
"119","ComPasture",0,0,42.3333333333333,0,"39"
"120","ComPasture",0,1.33333333333333,24.3333333333333,5.33333333333333,"39"
"121","ComPasture",0,2.66666666666667,79.6666666666667,0,"39"
"122","ComPasture",0,7.66666666666667,71.3333333333333,1,"39"
"123","ComPasture",4,12.6666666666667,83.6666666666667,0,"39"
"124","ComPasture",0,19,97.6666666666667,0,"39"
"125","ComPasture",0,4,98.6666666666667,0,"39"
"126","ComPasture",0,6,62.3333333333333,7.66666666666667,"39"
"127","ComPasture",0,11.6666666666667,79.6666666666667,2.66666666666667,"4"
"128","Protected",0,26.6666666666667,62,12.6666666666667,"24"
"129","Protected",0,40,66.6666666666667,17,"24"
"130","Protected",0,16.3333333333333,78.6666666666667,12.6666666666667,"24"
"131","Protected",0,19,58,25,"24"
"132","Protected",0,14,57.3333333333333,3.66666666666667,"24"
"133","Protected",0,6.66666666666667,100,0,"24"
"134","Protected",0,46.6666666666667,84.6666666666667,0,"24"
"135","Protected",0,16.3333333333333,56,13.6666666666667,"24"
"136","Protected",0,15,98,24.6666666666667,"24"
"137","Protected",0,46.3333333333333,74.6666666666667,53.3333333333333,"24"
"138","ComPasture",7,27.3333333333333,38.6666666666667,5.66666666666667,"27"
"139","ComPasture",0,38,73,3,"27"
"140","ComPasture",0,6.33333333333333,19.6666666666667,19,"27"
"141","ComPasture",0,31.3333333333333,98,17,"27"
"142","ComPasture",0,0,59.6666666666667,3.66666666666667,"27"
"143","ComPasture",0,7,76,9,"27"
"144","ComPasture",0,2.33333333333333,100,8.33333333333333,"27"
"145","ComPasture",0,34.6666666666667,56.6666666666667,8.66666666666667,"27"
"146","ComPasture",0,7.33333333333333,31.6666666666667,2,"27"
"147","ComPasture",0,84,2.66666666666667,2,"26"
"148","ComPasture",0,83,2.66666666666667,2,"26"
"149","ComPasture",0,80.3333333333333,3.66666666666667,13.3333333333333,"26"
"150","ComPasture",0,90.6666666666667,3.66666666666667,3,"26"
"151","ComPasture",0,98,9.66666666666667,0,"26"
"152","ComPasture",0,98.6666666666667,1,0,"26"
"153","ComPasture",0,96,5.66666666666667,1.33333333333333,"26"
"154","ComPasture",0,52,2,1.33333333333333,"26"
"155","ComPasture",0,89,2,1.33333333333333,"26"
"156","Homestead",36,3.33333333333333,70,5.66666666666667,"5"
"157","Homestead",36,4.33333333333333,28.6666666666667,0,"5"
"158","Homestead",17,7.66666666666667,32.6666666666667,8.33333333333333,"5"
"159","Homestead",65,1.33333333333333,67.3333333333333,3.66666666666667,"5"
"160","Homestead",28,4,38,5.66666666666667,"5"
"161","Homestead",36,3.66666666666667,54.3333333333333,6,"5"
"162","Homestead",23,3.66666666666667,48,0,"5"
"163","Homestead",21,2.33333333333333,13.3333333333333,5,"5"
"164","Homestead",12,7,31.6666666666667,6,"5"
"165","Homestead",28,21,25,7.33333333333333,"6"
"166","Homestead",16,25.3333333333333,35.3333333333333,7.66666666666667,"20"
"167","Homestead",20,8.66666666666667,75.3333333333333,4.66666666666667,"20"
"168","Homestead",17,8.66666666666667,67.3333333333333,0,"20"
"169","Homestead",52,8.66666666666667,43.3333333333333,3.66666666666667,"20"
"170","Homestead",18,5.33333333333333,44.3333333333333,4.66666666666667,"20"
"171","Homestead",28,7,31.6666666666667,22.6666666666667,"20"
"172","Homestead",18,6,23.6666666666667,2.33333333333333,"20"
"173","Homestead",26,4,5,0,"20"
"174","Homestead",45,5.66666666666667,13.6666666666667,4,"6"
"175","Homestead",49,1.66666666666667,24.6666666666667,4.33333333333333,"6"
"176","Homestead",36,2,10.6666666666667,1,"6"
"177","Homestead",22,9,6.33333333333333,3,"6"
"178","Homestead",8,19.6666666666667,5.66666666666667,8.33333333333333,"6"
"179","Homestead",38,1.33333333333333,47.6666666666667,6,"6"
"180","Homestead",38,0,11.3333333333333,0,"6"
"181","Homestead",28,1,9,7.33333333333333,"6"
"182","ComPasture",0,6,41.3333333333333,0,"7"
"183","ComPasture",0,3.33333333333333,31.3333333333333,0,"7"
"184","ComPasture",0,5.33333333333333,60,0,"7"
"185","ComPasture",0,22.6666666666667,28.3333333333333,0,"7"
"186","ComPasture",0,9,49.3333333333333,0,"7"
"187","ComPasture",0,17.6666666666667,36.6666666666667,0,"7"
"188","ComPasture",0,24.6666666666667,37.6666666666667,7,"7"
"189","ComPasture",0,13.6666666666667,45,3.33333333333333,"7"
"190","ComPasture",0,22.6666666666667,30,7,"7"
"191","Homestead",23,9,3,5.66666666666667,"8"
"192","Homestead",17,2.66666666666667,5,0,"8"
"193","Homestead",26,9,5.66666666666667,3.66666666666667,"8"
"194","Homestead",27,3.33333333333333,12,5.66666666666667,"8"
"195","Homestead",20,25.3333333333333,10.6666666666667,0,"8"
"196","Homestead",27,1.66666666666667,3.66666666666667,0,"8"
"197","Homestead",32,2.66666666666667,8,6,"8"
"198","Protected",0,15.6666666666667,20,41.3333333333333,"31"
"199","Protected",0,11.3333333333333,49,14.6666666666667,"31"
"200","Protected",0,47.3333333333333,60,18.3333333333333,"31"
"201","Protected",0,4,73.6666666666667,12.6666666666667,"31"
"202","Protected",0,46.3333333333333,30.6666666666667,0,"31"
"203","Protected",0,4.33333333333333,52.6666666666667,38.3333333333333,"31"
"204","Protected",0,20,79.6666666666667,0,"31"
"205","Protected",0,26.6666666666667,37.3333333333333,0,"31"
"206","Protected",0,13,29,2.33333333333333,"31"
"207","Protected",0,23.3333333333333,42,2,"30"
"208","Protected",0,11.3333333333333,42,5,"30"
"209","Protected",0,19,71.3333333333333,18,"30"
"210","Protected",0,19,34.6666666666667,26.3333333333333,"30"
"211","Protected",0,5,12.3333333333333,1,"30"
"212","Protected",0,4,2,0,"30"
"213","Protected",0,12.3333333333333,48.6666666666667,0,"30"
"214","Protected",0,5.33333333333333,5.66666666666667,3.33333333333333,"30"
"215","Protected",0,3.66666666666667,7.66666666666667,30.3333333333333,"30"
"216","Protected",0,19,27,11.3333333333333,"29"
"217","Protected",0,95.3333333333333,50,2.66666666666667,"29"
"218","Protected",0,60.6666666666667,89,1.33333333333333,"29"
"219","Protected",0,13.6666666666667,80.3333333333333,23.6666666666667,"29"
"220","Protected",0,48.6666666666667,65.3333333333333,0,"29"
"221","Protected",0,8.33333333333333,99.6666666666667,11.6666666666667,"29"
"222","Protected",0,12.3333333333333,100,16.6666666666667,"29"
"223","Protected",0,27,63.3333333333333,29.3333333333333,"29"
"224","Protected",0,74,97,17.3333333333333,"29"
"225","Homestead",35,5.33333333333333,16.3333333333333,1.33333333333333,"8"
"226","Homestead",8,14.3333333333333,15.3333333333333,9,"8"
